platform,gitRev,test,nsamples,cpuTime,realTime,branchInstructions,branchMisses,cacheMisses,cpuCycles,instructions,contextSwitches,cpuMigrations,pageFaults
base,perf-20592cb4,IFFT,100000000,3.638877e-01,3.638945e-01,87717037,9630,6787,1413712092,3610516209,2,0,68
base,perf-20592cb4,IFFT,100000000,3.670345e-01,3.670317e-01,87715605,10492,5280,1423164776,3610511116,1,0,66
base,perf-20592cb4,IFFT,100000000,3.656051e-01,3.660470e-01,87724065,11059,9468,1421938420,3610551884,18,0,65
base,perf-20592cb4,IFFT,100000000,3.657806e-01,3.657799e-01,87711326,9788,5145,1418696293,3610490449,1,0,65
base,perf-20592cb4,IFFT,100000000,3.662123e-01,3.662121e-01,87707881,10152,5451,1421126861,3610469276,1,0,64
base,perf-20592cb4,IFFT,100000000,3.664392e-01,3.664300e-01,87707958,9916,5643,1416201920,3610468805,0,0,66
base,perf-20592cb4,IFFT,100000000,3.683232e-01,3.683308e-01,87713845,9388,7971,1416657064,3610499933,2,0,65
base,perf-20592cb4,IFFT,100000000,3.683583e-01,3.683580e-01,87713626,9283,6539,1422499977,3610496924,1,0,65
base,perf-20592cb4,IFFT,100000000,3.732768e-01,3.734715e-01,87956016,12546,11236,1420965717,3611528826,7,0,65
base,perf-20592cb4,IFFT,100000000,3.663662e-01,3.665917e-01,88106510,12300,10597,1417367734,3612164973,7,0,64
base,perf-20592cb4,IFFT,100000000,3.820679e-01,3.825127e-01,87722873,10471,6846,1473625232,3610548452,13,0,63
base,perf-20592cb4,IFFT,100000000,3.682133e-01,3.682115e-01,87707965,9376,6656,1411204008,3610469194,1,0,66
base,perf-20592cb4,IFFT,100000000,3.652095e-01,3.652186e-01,87709379,9151,5449,1414930559,3610475865,2,0,65
base,perf-20592cb4,IFFT,100000000,3.690987e-01,3.695410e-01,87721357,10186,6835,1415784815,3610538633,20,0,64
base,perf-20592cb4,IFFT,100000000,3.639287e-01,3.639486e-01,87711031,9551,8909,1409880236,3610487161,2,0,66
base,perf-20592cb4,IFFT,100000000,3.692863e-01,3.692902e-01,87717167,9401,5189,1432975411,3610522021,1,0,64
base,perf-20592cb4,IFFT,100000000,3.684015e-01,3.684010e-01,87711764,10247,4962,1426272805,3610487415,1,0,65
base,perf-20592cb4,IFFT,100000000,3.704220e-01,3.708411e-01,87719001,9810,5297,1432380915,3610526565,19,0,64
base,perf-20592cb4,IFFT,100000000,3.668988e-01,3.668896e-01,87708335,10235,5969,1421061634,3610476763,0,0,64
base,perf-20592cb4,IFFT,100000000,3.679955e-01,3.681867e-01,87969025,12590,10569,1417175552,3611577139,7,0,65
base,perf-20592cb4,IFFT,100000000,3.648434e-01,3.648394e-01,87714910,9706,6972,1411765659,3610500216,1,0,63
base,perf-20592cb4,IFFT,100000000,3.663412e-01,3.663481e-01,87710201,9920,6936,1416221084,3610481890,1,0,64
base,perf-20592cb4,IFFT,100000000,3.722609e-01,3.722587e-01,87707090,11570,9362,1435726950,3610461621,1,0,63
base,perf-20592cb4,IFFT,100000000,3.680782e-01,3.682800e-01,88210615,14141,13647,1417931425,3612611039,8,0,64
base,perf-20592cb4,IFFT,100000000,3.674941e-01,3.675024e-01,87711037,10627,9020,1416772121,3610483735,2,0,66
base,perf-20592cb4,IFFT,100000000,3.646040e-01,3.645949e-01,87710148,9026,6737,1414443396,3610485324,0,0,65
base,perf-20592cb4,IFFT,100000000,3.748832e-01,3.748901e-01,87716346,8788,6559,1416574585,3610513861,2,0,66
base,perf-20592cb4,IFFT,100000000,3.671666e-01,3.671657e-01,87702096,9999,5465,1415538932,3610440846,1,0,64
base,perf-20592cb4,IFFT,100000000,3.732209e-01,3.736109e-01,87722396,10778,12124,1444587576,3610545674,15,0,65
base,perf-20592cb4,IFFT,100000000,3.657039e-01,3.656947e-01,87703996,9726,6083,1417705591,3610445729,0,0,64
base,perf-20592cb4,IFFT,100000000,3.681003e-01,3.680974e-01,87709737,9150,7679,1417595107,3610485540,1,0,66
base,perf-20592cb4,IFFT,100000000,3.656767e-01,3.660850e-01,87728704,11100,12044,1417668288,3610578534,17,0,63
base,perf-20592cb4,IFFT,100000000,3.660798e-01,3.665570e-01,87722001,10062,7302,1415512556,3610542317,22,0,64
base,perf-20592cb4,IFFT,100000000,3.696849e-01,3.697017e-01,87713524,11086,5493,1430556905,3610501373,2,0,65
base,perf-20592cb4,IFFT,100000000,3.706441e-01,3.706349e-01,87712340,10565,5973,1436971453,3610500253,0,0,66
base,perf-20592cb4,IFFT,100000000,3.655468e-01,3.655728e-01,87714539,9246,5533,1415052019,3610501719,3,0,64
base,perf-20592cb4,IFFT,100000000,3.647976e-01,3.647882e-01,87711776,9610,10111,1411955357,3610486174,0,0,65
base,perf-20592cb4,IFFT,100000000,3.660712e-01,3.660620e-01,87712668,8542,5949,1415816564,3610493060,0,0,67
base,perf-20592cb4,IFFT,100000000,3.659721e-01,3.659702e-01,87705499,9637,6736,1416408619,3610457754,1,0,64
base,perf-20592cb4,IFFT,100000000,3.719351e-01,3.719256e-01,87712715,9960,5339,1440360003,3610490628,0,0,65
base,perf-20592cb4,IFFT,100000000,3.672215e-01,3.672123e-01,87712258,8958,8037,1412008297,3610494776,0,0,66
base,perf-20592cb4,IFFT,100000000,3.688037e-01,3.687943e-01,87709496,10022,6683,1426362240,3610480434,0,0,64
base,perf-20592cb4,IFFT,100000000,3.644655e-01,3.649377e-01,87725114,10192,8793,1413048762,3610559040,21,0,66
base,perf-20592cb4,IFFT,100000000,3.689143e-01,3.689221e-01,87712009,10295,11069,1422514380,3610492041,2,0,66
base,perf-20592cb4,IFFT,100000000,3.646659e-01,3.646643e-01,87712499,10243,6272,1415987443,3610486149,1,0,65
base,perf-20592cb4,IFFT,100000000,3.716055e-01,3.715963e-01,87706492,10508,5554,1436697771,3610459384,0,0,65
base,perf-20592cb4,IFFT,100000000,3.671182e-01,3.671166e-01,87709196,9761,7070,1416297348,3610480976,1,0,66
base,perf-20592cb4,IFFT,100000000,3.698641e-01,3.698548e-01,87707774,9909,4772,1433511688,3610469474,0,0,65
base,perf-20592cb4,IFFT,100000000,3.670996e-01,3.671097e-01,87708749,8760,6824,1414822264,3610470164,1,0,65
base,perf-20592cb4,IFFT,100000000,3.650321e-01,3.650295e-01,87710068,9463,5030,1412407365,3610479347,1,0,66
base,perf-20592cb4,IFFT,100000000,3.710610e-01,3.715719e-01,87721341,10011,6512,1421016814,3610536193,18,0,66
base,perf-20592cb4,IFFT,100000000,3.720561e-01,3.724898e-01,87726789,10231,7302,1419598841,3610566589,18,0,66
base,perf-20592cb4,IFFT,100000000,3.708657e-01,3.708563e-01,87707230,10744,6681,1432969282,3610464707,0,0,65
base,perf-20592cb4,IFFT,100000000,3.693098e-01,3.693005e-01,87705731,9150,7243,1420178420,3610457625,0,0,64
base,perf-20592cb4,IFFT,100000000,3.673085e-01,3.673079e-01,87707270,10635,6274,1422387780,3610469692,1,0,64
base,perf-20592cb4,IFFT,100000000,3.653492e-01,3.657509e-01,87718918,10356,7502,1414145095,3610522579,19,0,64
base,perf-20592cb4,IFFT,100000000,3.807101e-01,3.808911e-01,88712826,22176,19875,1443431590,3614716854,6,0,65
base,perf-20592cb4,IFFT,100000000,3.661923e-01,3.662182e-01,87711667,9938,4875,1416861374,3610487447,3,0,66
base,perf-20592cb4,IFFT,100000000,3.656626e-01,3.656534e-01,87708635,10089,7149,1418189505,3610471762,0,0,64
base,perf-20592cb4,IFFT,100000000,3.681137e-01,3.681139e-01,87711890,11053,7771,1426658158,3610493171,1,0,66
base,perf-20592cb4,IFFT,100000000,3.679708e-01,3.679616e-01,87706379,10263,7272,1417603838,3610460672,0,0,66
