platform,gitRev,test,nsamples,cpuTime,realTime,branchInstructions,branchMisses,cacheMisses,cpuCycles,instructions,contextSwitches,cpuMigrations,pageFaults
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.835361e-01,4.835387e-01,359353333,1056108,9762,1881699388,4586427125,0,0,518
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.878849e-01,4.879024e-01,359145337,1055872,6403,1879669275,4585363313,2,0,392
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.906446e-01,4.906473e-01,359138697,1056663,7755,1884564627,4585313032,0,0,392
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.856745e-01,4.856844e-01,359131341,1058307,7549,1891103105,4585276358,1,0,390
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.850891e-01,4.851067e-01,359135193,1054928,7737,1881237525,4585297853,1,0,392
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.881499e-01,4.881595e-01,359135407,1054370,6449,1897446164,4585305008,1,0,391
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.828254e-01,4.828331e-01,359136963,1056360,6502,1880149097,4585305260,1,0,392
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.879073e-01,4.879161e-01,359142030,1057450,6378,1899014213,4585341179,1,0,392
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.886903e-01,4.886930e-01,359132235,1057340,7259,1886529409,4585273220,0,0,391
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.953279e-01,4.953424e-01,359137732,1055153,7317,1880521471,4585310930,2,0,391
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.843871e-01,4.843897e-01,359139994,1054696,6915,1881213621,4585324730,0,0,392
wifi,master-27bcfb2c,RX 6Mbps,100000000,5.057448e-01,5.057579e-01,359138113,1054793,7945,1884806820,4585316967,2,0,391
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.862766e-01,4.862835e-01,359139961,1055677,8030,1886392766,4585326254,1,0,392
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.907822e-01,4.907928e-01,359137570,1057173,9347,1901336558,4585310194,1,0,392
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.873434e-01,4.876259e-01,359209056,1057534,9280,1889036567,4585604193,9,0,392
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.873355e-01,4.873537e-01,359130174,1381768,6916,1887655320,4585268903,2,0,390
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.966212e-01,4.969349e-01,359217119,1058886,10100,1884448605,4585658726,10,0,391
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.886733e-01,4.889064e-01,359192059,1060893,5996,1886357773,4585554379,8,0,392
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.890732e-01,4.890757e-01,359136824,1372274,5291,1883249416,4585304668,0,0,392
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.957087e-01,4.957177e-01,359135772,1056823,7441,1879652717,4585301740,1,0,392
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.876276e-01,4.876444e-01,359141642,1057293,11322,1898842459,4585332792,2,0,390
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.838223e-01,4.838315e-01,359131896,1058529,8564,1882735334,4585267685,1,0,391
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.843695e-01,4.843723e-01,359135774,1056114,10342,1884941401,4585296666,0,0,390
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.850935e-01,4.851031e-01,359129469,1055975,7504,1884450117,4585264730,1,0,390
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.851572e-01,4.851686e-01,359131620,1055934,11218,1878537002,4585280560,1,0,391
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.817638e-01,4.817663e-01,359139082,1054244,5737,1874926998,4585311727,0,0,392
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.896569e-01,4.896597e-01,359128997,1056418,8069,1884148594,4585266269,0,0,391
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.862034e-01,4.862264e-01,359136650,1055281,9130,1884611745,4585315944,2,0,393
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.869267e-01,4.869457e-01,359127981,1056020,7583,1880638932,4585254311,1,0,391
wifi,master-27bcfb2c,RX 6Mbps,100000000,5.249495e-01,5.252459e-01,359211529,1066495,13900,2024161038,4585659295,9,0,392
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.885851e-01,4.885942e-01,359147405,1057672,9888,1891385117,4585371000,1,1,392
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.903158e-01,4.903270e-01,359139810,1058197,11491,1886193312,4585333994,1,0,392
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.839373e-01,4.839399e-01,359135667,1055861,11253,1879936745,4585298175,0,0,392
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.863296e-01,4.863420e-01,359135930,1056721,9141,1888591774,4585289495,1,0,393
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.851138e-01,4.851165e-01,359129707,1080262,7236,1884465491,4585266722,0,0,391
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.842357e-01,4.842449e-01,359137323,1055804,5635,1883855783,4585317181,1,0,392
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.837739e-01,4.838096e-01,359139803,1054981,8488,1880976759,4585307106,3,0,392
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.844105e-01,4.844133e-01,359139181,1055436,6884,1883460161,4585324415,0,0,392
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.847771e-01,4.847994e-01,359136811,1069224,10044,1882247313,4585304941,1,0,391
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.839799e-01,4.839824e-01,359138012,1055132,7865,1883802799,4585312938,0,0,392
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.840557e-01,4.840817e-01,359144766,1056578,9033,1882245146,4585364270,2,0,391
wifi,master-27bcfb2c,RX 6Mbps,100000000,4.835124e-01,4.835149e-01,359134114,1054133,5842,1878672008,4585301458,0,0,391
