platform,gitRev,test,nsamples,cpuTime,realTime,branchInstructions,branchMisses,cacheMisses,cpuCycles,instructions,contextSwitches,cpuMigrations,pageFaults
wifi-sid,pepm-peval-23dfb0a2,RX 6Mbps,100000000,4.616819e-01,4.619785e-01,330887627,1799782,6674,1791238086,4223579108,10,0,527
wifi-sid,pepm-peval-23dfb0a2,RX 6Mbps,100000000,4.606138e-01,4.606162e-01,330800096,1817385,3825,1792927087,4223191534,0,0,521
wifi-sid,pepm-peval-23dfb0a2,RX 6Mbps,100000000,4.653739e-01,4.656008e-01,330856442,1802751,5416,1793359253,4223432985,9,0,521
wifi-sid,pepm-peval-23dfb0a2,RX 6Mbps,100000000,4.629679e-01,4.629705e-01,330805254,1805372,10295,1797235405,4223199626,0,0,519
wifi-sid,pepm-peval-23dfb0a2,RX 6Mbps,100000000,5.016604e-01,5.016754e-01,330816401,1800979,5260,1945681447,4223265007,3,0,520
wifi-sid,pepm-peval-23dfb0a2,RX 6Mbps,100000000,4.627862e-01,4.627888e-01,330801297,1798269,7424,1801884780,4223178530,0,0,519
wifi-sid,pepm-peval-23dfb0a2,RX 6Mbps,100000000,4.621424e-01,4.621519e-01,330801409,1802620,10188,1785449164,4223190205,1,0,521
wifi-sid,pepm-peval-23dfb0a2,RX 6Mbps,100000000,4.620946e-01,4.620971e-01,330803467,1806821,10085,1785331183,4223195387,0,0,521
wifi-sid,pepm-peval-23dfb0a2,RX 6Mbps,100000000,4.631305e-01,4.631416e-01,330806597,1803332,11921,1794946322,4223218774,1,0,520
wifi-sid,pepm-peval-23dfb0a2,RX 6Mbps,100000000,4.635224e-01,4.635249e-01,330800417,1805094,6291,1787783836,4223176556,0,0,517
wifi-sid,pepm-peval-23dfb0a2,RX 6Mbps,100000000,4.608297e-01,4.608389e-01,330809834,1806394,5267,1789855961,4223226250,1,0,519
wifi-sid,pepm-peval-23dfb0a2,RX 6Mbps,100000000,4.604540e-01,4.604566e-01,330805289,1813077,8616,1791624485,4223196561,0,0,518
wifi-sid,pepm-peval-23dfb0a2,RX 6Mbps,100000000,4.860489e-01,4.860574e-01,330810824,1787027,8263,1888172751,4223238373,1,0,521
wifi-sid,pepm-peval-23dfb0a2,RX 6Mbps,100000000,4.636896e-01,4.637066e-01,330798482,1812728,7090,1791375785,4223175642,1,0,520
