platform,gitRev,test,nsamples,cpuTime,realTime,branchInstructions,branchMisses,cacheMisses,cpuCycles,instructions,contextSwitches,cpuMigrations,pageFaults
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.796090e-01,4.795970e-01,359360269,1065979,16391,1855921164,4583942079,0,0,518
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.738279e-01,4.738222e-01,359135798,1056930,6788,1845170493,4582807335,1,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.808014e-01,4.807969e-01,359138170,1059294,12671,1874256775,4582816199,1,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,5.131002e-01,5.130975e-01,359139733,1065063,12683,1996042675,4582818234,1,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.759522e-01,4.759471e-01,359142707,1080000,11023,1853282906,4582838410,1,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.756002e-01,4.758588e-01,359197245,1058315,9669,1847209377,4583074050,9,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.795546e-01,4.795546e-01,359137907,1056398,8368,1859985933,4582811755,3,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.760108e-01,4.760191e-01,359129607,1068941,10721,1849054096,4582760478,1,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,5.134239e-01,5.134292e-01,359140155,1063874,10313,1998947376,4582827141,1,0,391
wifi,perf-5e5ec39e,RX 6Mbps,100000000,5.116723e-01,5.116699e-01,359142151,1095719,9814,1991884588,4582841787,1,1,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.784043e-01,4.784115e-01,359133400,1069681,13502,1852340666,4582775049,1,0,391
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.920923e-01,4.920801e-01,359138010,1075258,11123,1918057297,4582820785,0,0,391
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.772580e-01,4.772779e-01,359130570,1077348,9120,1856505062,4582773791,2,0,391
wifi,perf-5e5ec39e,RX 6Mbps,100000000,5.100760e-01,5.100633e-01,359137056,1063417,10880,1985970147,4582796431,0,0,391
wifi,perf-5e5ec39e,RX 6Mbps,100000000,5.105486e-01,5.105508e-01,359142138,1063497,10381,1980790209,4582829424,2,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.757348e-01,4.757230e-01,359136236,1054677,7286,1848543101,4582804998,0,0,391
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.912182e-01,4.912362e-01,359139158,1059842,8178,1911635002,4582817040,2,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,5.111057e-01,5.110930e-01,359138825,1064941,11969,1983276483,4582819691,0,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.757975e-01,4.758176e-01,359139713,1058705,8925,1848720462,4582823911,2,0,393
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.752249e-01,4.753085e-01,359133311,1063884,9848,1849797973,4582786656,2,0,390
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.756424e-01,4.756538e-01,359138255,1060466,9467,1848249495,4582814620,2,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.788939e-01,4.791035e-01,359181236,1080299,7228,1849596079,4582994576,7,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.797758e-01,4.797743e-01,359137128,1057137,7027,1863598712,4582805660,2,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.774342e-01,4.774413e-01,359134700,1066842,9723,1852154547,4582794648,1,0,391
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.803480e-01,4.803429e-01,359138603,1063922,10321,1867228446,4582818502,1,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.748893e-01,4.748776e-01,359128827,1054839,10397,1845830214,4582760654,0,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.931789e-01,4.931748e-01,359134171,1295882,12158,1919337796,4582789132,1,0,390
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.763357e-01,4.763240e-01,359131795,1056365,10083,1854397401,4582782629,0,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.960859e-01,4.960815e-01,359134805,1075068,10222,1924019057,4582800340,1,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.797055e-01,4.796937e-01,359131768,1085331,8057,1849932739,4582775315,0,0,391
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.819482e-01,4.819440e-01,359133195,1091041,8928,1852750942,4582785002,1,0,391
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.753217e-01,4.753152e-01,359127976,1385548,9024,1849309009,4582753400,1,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.746859e-01,4.748667e-01,359180630,1070570,8506,1846900367,4582999933,8,0,390
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.804792e-01,4.804673e-01,359142336,1056403,8654,1843877272,4582843946,0,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.759479e-01,4.759454e-01,359133750,1053227,12051,1849128941,4582783759,1,0,393
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.808819e-01,4.808699e-01,359135711,1057338,10577,1872671588,4582803176,0,0,393
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.766224e-01,4.766194e-01,359133508,1056003,12111,1854018338,4582789858,1,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.843828e-01,4.843708e-01,359129809,1058780,12273,1880620730,4582766472,0,0,391
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.773494e-01,4.773457e-01,359131286,1056796,10173,1850694818,4582773303,1,0,391
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.755389e-01,4.755336e-01,359130100,1056452,9643,1848751324,4582762851,1,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.762540e-01,4.762496e-01,359131001,1054590,5635,1850387421,4582768061,1,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,5.016604e-01,5.016482e-01,359143643,1073138,7597,1952489223,4582848808,0,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.852524e-01,4.852479e-01,359137524,1057328,6888,1850014224,4582803372,1,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.762126e-01,4.762009e-01,359136623,1070005,9629,1846780041,4582802110,0,0,390
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.781663e-01,4.781629e-01,359129596,1074402,10141,1853049691,4582759666,1,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.924485e-01,4.924361e-01,359139842,2289076,7532,1914263461,4582825764,0,0,393
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.882400e-01,4.884173e-01,359179496,1077118,8490,1851291880,4582993114,7,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.769328e-01,4.769259e-01,359139402,1074429,9982,1846394440,4582816976,1,0,391
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.831246e-01,4.831225e-01,359137298,1075967,11141,1871718483,4582805521,1,0,391
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.783021e-01,4.782901e-01,359142295,1075492,7889,1854099348,4582847124,0,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.778271e-01,4.778151e-01,359133944,1055982,9653,1860059060,4582796658,0,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.779420e-01,4.782071e-01,359306772,1069557,12713,1854724046,4583523964,9,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.763775e-01,4.763658e-01,359130636,1066316,13901,1854757371,4582773728,0,0,390
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.762192e-01,4.762135e-01,359137125,1054866,8306,1845294727,4582814632,1,0,391
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.759461e-01,4.759343e-01,359139446,1057735,12287,1849231274,4582808695,0,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.748092e-01,4.748083e-01,359127322,1066383,8181,1848659167,4582755739,2,0,390
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.777149e-01,4.777031e-01,359133978,1080553,7323,1851093656,4582796090,0,0,391
wifi,perf-5e5ec39e,RX 6Mbps,100000000,5.082077e-01,5.082136e-01,359136324,1063354,10425,1979834250,4582799492,2,0,391
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.732428e-01,4.732307e-01,359133995,1055296,10226,1843978504,4582783345,0,0,393
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.753513e-01,4.753533e-01,359135885,1056277,9566,1846938333,4582803209,2,0,391
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.795933e-01,4.796066e-01,359138526,1064368,10559,1851894123,4582820114,2,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.768349e-01,4.768321e-01,359135575,1067855,12825,1847152808,4582781977,1,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.862924e-01,4.862876e-01,359135859,1075189,9678,1874676032,4582800527,1,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.794103e-01,4.794071e-01,359158648,1064723,15981,1853533872,4582915928,1,0,390
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.892310e-01,4.892313e-01,359136898,1061060,10718,1893716665,4582801988,2,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.781689e-01,4.781645e-01,359134556,1259221,11859,1858373077,4582795524,1,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,5.168571e-01,5.168443e-01,359144413,1072621,7519,2010648954,4582856799,0,0,393
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.747506e-01,4.747518e-01,359136680,1075966,11185,1848140858,4582804126,2,0,391
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.765092e-01,4.764972e-01,359139776,1058114,10676,1847639083,4582823915,0,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.772791e-01,4.772749e-01,359134719,1057451,10867,1848296227,4582792412,1,0,393
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.756731e-01,4.756614e-01,359133367,1052408,9657,1849853476,4582792723,0,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.747328e-01,4.747280e-01,359139144,1076847,9660,1847762378,4582823004,1,0,390
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.871663e-01,4.871703e-01,359139625,1058674,11056,1874437578,4582818357,1,0,393
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.780017e-01,4.780158e-01,359135037,1064103,7234,1853927724,4582801109,2,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.822812e-01,4.822691e-01,359131544,1319690,9717,1873352730,4582770578,0,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.767351e-01,4.767321e-01,359136694,1053061,8929,1852930008,4582812955,1,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.868834e-01,4.868714e-01,359136674,1054514,8710,1856838844,4582804299,0,0,390
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.820742e-01,4.820774e-01,359136857,1073741,9183,1845891504,4582798654,2,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.735193e-01,4.735074e-01,359142031,1061214,9670,1843734102,4582844847,0,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.925271e-01,4.925239e-01,359134001,1057642,10981,1873676019,4582793639,1,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.790304e-01,4.790375e-01,359132095,1056710,8922,1855059100,4582784866,1,0,391
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.788296e-01,4.788254e-01,359128301,1054681,7167,1847234566,4582755359,1,0,390
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.830454e-01,4.833294e-01,359205723,1059618,10358,1849396118,4583104784,9,0,391
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.934214e-01,4.934160e-01,359137438,1061367,7461,1918296997,4582813479,1,0,393
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.833740e-01,4.833618e-01,359130655,1068211,8037,1851566636,4582758284,0,0,391
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.770765e-01,4.770644e-01,359130327,1082432,9596,1850036728,4582771077,0,0,390
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.750102e-01,4.750466e-01,359141434,1056024,12808,1848793356,4582823023,2,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.750657e-01,4.750540e-01,359140169,1060605,8507,1847285360,4582834020,0,0,393
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.796784e-01,4.796787e-01,359130752,1069246,8318,1863648235,4582778190,2,0,390
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.784616e-01,4.784496e-01,359137467,1051184,7043,1849406455,4582808548,0,0,392
wifi,perf-5e5ec39e,RX 6Mbps,100000000,4.753468e-01,4.756032e-01,359202917,1054945,9435,1845166105,4583098159,9,0,393
