platform,gitRev,test,nsamples,cpuTime,realTime,branchInstructions,branchMisses,cacheMisses,cpuCycles,instructions,contextSwitches,cpuMigrations,pageFaults
wifi,perf-a5734919,RX 6Mbps,100000000,4.765793e-01,4.765674e-01,359343316,1404209,12771,1856819119,4583854933,0,0,519
wifi,perf-a5734919,RX 6Mbps,100000000,4.764003e-01,4.764070e-01,359150384,1073834,11476,1855340386,4582886134,2,0,391
wifi,perf-a5734919,RX 6Mbps,100000000,4.761433e-01,4.761314e-01,359133970,1072108,7843,1852376644,4582787239,0,0,392
wifi,perf-a5734919,RX 6Mbps,100000000,4.812304e-01,4.812425e-01,359135202,1058229,9116,1864229896,4582799918,2,0,392
wifi,perf-a5734919,RX 6Mbps,100000000,4.758042e-01,4.757970e-01,359132515,1071684,7765,1847529256,4582779526,1,0,392
wifi,perf-a5734919,RX 6Mbps,100000000,5.338053e-01,5.338005e-01,359142517,1079223,11176,2063339498,4582837899,1,0,393
wifi,perf-a5734919,RX 6Mbps,100000000,4.819248e-01,4.819305e-01,359130763,1068482,7524,1856811497,4582770215,1,0,391
wifi,perf-a5734919,RX 6Mbps,100000000,4.846887e-01,4.846842e-01,359136534,1068041,11994,1876078027,4582794265,1,0,393
wifi,perf-a5734919,RX 6Mbps,100000000,4.750946e-01,4.750827e-01,359130220,1053725,9733,1848090593,4582770072,0,0,391
wifi,perf-a5734919,RX 6Mbps,100000000,4.844574e-01,4.844531e-01,359135281,1068046,11384,1851653976,4582793641,1,0,392
wifi,perf-a5734919,RX 6Mbps,100000000,4.799616e-01,4.799496e-01,359138428,1082410,10113,1852373949,4582817277,0,0,392
wifi,perf-a5734919,RX 6Mbps,100000000,4.787867e-01,4.788066e-01,359137226,1083303,16165,1853761814,4582812062,2,0,392
wifi,perf-a5734919,RX 6Mbps,100000000,4.927588e-01,4.927737e-01,359138644,1082930,12747,1910056443,4582815936,2,0,391
wifi,perf-a5734919,RX 6Mbps,100000000,4.871164e-01,4.871131e-01,359131305,1064832,9127,1846937325,4582765648,1,0,393
wifi,perf-a5734919,RX 6Mbps,100000000,4.757641e-01,4.757522e-01,359131773,1055549,9633,1852750409,4582771331,0,0,391
wifi,perf-a5734919,RX 6Mbps,100000000,4.743245e-01,4.743217e-01,359138309,1056537,11671,1847472356,4582811120,1,0,392
wifi,perf-a5734919,RX 6Mbps,100000000,4.821942e-01,4.821880e-01,359135591,1052082,8607,1855002105,4582793076,1,0,393
wifi,perf-a5734919,RX 6Mbps,100000000,4.787566e-01,4.789720e-01,359182803,1072814,11728,1861969832,4582991479,8,0,391
wifi,perf-a5734919,RX 6Mbps,100000000,4.808201e-01,4.808082e-01,359130280,1063738,8992,1852183188,4582771634,0,0,390
wifi,perf-a5734919,RX 6Mbps,100000000,4.823486e-01,4.825663e-01,359184367,1056865,11434,1867889034,4583008066,8,0,392
wifi,perf-a5734919,RX 6Mbps,100000000,4.754073e-01,4.754010e-01,359137685,1070704,8070,1851004657,4582803114,1,0,393
wifi,perf-a5734919,RX 6Mbps,100000000,4.776833e-01,4.776797e-01,359133152,1058803,8698,1856736671,4582781314,1,0,390
wifi,perf-a5734919,RX 6Mbps,100000000,4.820516e-01,4.820556e-01,359135789,1059894,8774,1879002996,4582796810,2,0,393
wifi,perf-a5734919,RX 6Mbps,100000000,4.778944e-01,4.778990e-01,359131941,1056393,9433,1855601883,4582785551,2,0,391
wifi,perf-a5734919,RX 6Mbps,100000000,4.770464e-01,4.770418e-01,359137252,1055865,6991,1858517715,4582808406,1,0,392
wifi,perf-a5734919,RX 6Mbps,100000000,4.755656e-01,4.755624e-01,359126833,1057481,9752,1850337796,4582745042,1,0,390
wifi,perf-a5734919,RX 6Mbps,100000000,4.810373e-01,4.810252e-01,359126408,1055805,5906,1866615885,4582747077,0,0,391
wifi,perf-a5734919,RX 6Mbps,100000000,4.765905e-01,4.766159e-01,359137924,1079216,11340,1854730581,4582813932,2,0,392
wifi,perf-a5734919,RX 6Mbps,100000000,4.793243e-01,4.793291e-01,359140648,1058355,11513,1856919959,4582816270,2,0,390
wifi,perf-a5734919,RX 6Mbps,100000000,4.755300e-01,4.755183e-01,359139990,1054136,11140,1847883874,4582815701,0,0,392
wifi,perf-a5734919,RX 6Mbps,100000000,4.773331e-01,4.773508e-01,359130740,1068842,10452,1853958915,4582771334,2,0,391
wifi,perf-a5734919,RX 6Mbps,100000000,4.760152e-01,4.760034e-01,359132051,1066510,8044,1852132932,4582784822,0,0,390
wifi,perf-a5734919,RX 6Mbps,100000000,4.753087e-01,4.753030e-01,359129034,1060785,10143,1850411038,4582754288,1,0,392
wifi,perf-a5734919,RX 6Mbps,100000000,4.749938e-01,4.749817e-01,359130587,1055110,9850,1849145780,4582764327,0,0,391
wifi,perf-a5734919,RX 6Mbps,100000000,4.736504e-01,4.736477e-01,359139503,1056436,8761,1844130521,4582823724,2,0,392
wifi,perf-a5734919,RX 6Mbps,100000000,4.823766e-01,4.823815e-01,359138724,1055675,9545,1858352742,4582800639,1,0,391
wifi,perf-a5734919,RX 6Mbps,100000000,5.415014e-01,5.417290e-01,359198129,1089012,10438,2056530808,4583086749,9,0,392
wifi,perf-a5734919,RX 6Mbps,100000000,4.743909e-01,4.743922e-01,359136849,1079402,9638,1846534920,4582804582,2,0,392
wifi,perf-a5734919,RX 6Mbps,100000000,4.764840e-01,4.764795e-01,359132848,1056162,9361,1851448161,4582779170,1,0,392
wifi,perf-a5734919,RX 6Mbps,100000000,4.760946e-01,4.760828e-01,359130213,1056123,8139,1847404869,4582767446,0,0,393
wifi,perf-a5734919,RX 6Mbps,100000000,4.812654e-01,4.812617e-01,359136184,1088239,10666,1865603197,4582789894,1,0,391
wifi,perf-a5734919,RX 6Mbps,100000000,4.765992e-01,4.765874e-01,359130148,1071341,8471,1856719629,4582765000,0,0,391
wifi,perf-a5734919,RX 6Mbps,100000000,4.748950e-01,4.748904e-01,359139025,1055260,11165,1850033328,4582796154,1,0,392
wifi,perf-a5734919,RX 6Mbps,100000000,4.806437e-01,4.806375e-01,359135560,1055946,9175,1872166327,4582794074,1,0,390
