platform,gitRev,test,nsamples,cpuTime,realTime,branchInstructions,branchMisses,cacheMisses,cpuCycles,instructions,contextSwitches,cpuMigrations,pageFaults
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.291469e-01,4.291424e-01,304066561,1807617,5485,1660007208,3934183791,1,0,542
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.457864e-01,4.460434e-01,304110800,1803466,7605,1664280252,3934334551,8,0,534
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.600226e-01,4.600198e-01,304060628,1818932,8340,1784063550,3934134501,1,0,534
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.275842e-01,4.275785e-01,304046583,1801328,6313,1660031062,3934077757,1,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.283234e-01,4.285338e-01,304093727,1806618,8217,1659612647,3934265117,8,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.302889e-01,4.303162e-01,304065904,1800838,8592,1669111668,3934180046,6,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.791965e-01,4.791846e-01,304055464,1824632,13217,1864401797,3934128861,0,0,534
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.272367e-01,4.272322e-01,304056823,1804947,10624,1662445224,3934116331,1,0,537
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.300985e-01,4.300878e-01,304054647,1800079,7355,1673460145,3934095463,0,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.292370e-01,4.292331e-01,304058704,1801432,10799,1671016608,3934122481,1,0,537
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.374249e-01,4.374141e-01,304052253,1801421,6317,1661568808,3934091463,0,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.356284e-01,4.356263e-01,304049950,1802859,11063,1663211861,3934079694,1,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.360105e-01,4.359996e-01,304052021,1798603,9056,1662148721,3934099915,0,0,537
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.277399e-01,4.277384e-01,304052306,1801376,11424,1662134485,3934085269,1,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.590417e-01,4.590581e-01,304058615,1818787,10382,1786530546,3934113126,2,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.425873e-01,4.425763e-01,304054239,1816415,8109,1724190386,3934106986,0,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.529314e-01,4.529579e-01,304103411,1802708,7663,1751124595,3934392266,6,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.583821e-01,4.583706e-01,304058334,1817873,9182,1785646186,3934115130,0,0,537
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.329809e-01,4.329768e-01,304052717,1803283,12451,1685044518,3934087974,1,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.276232e-01,4.276197e-01,304060259,1802233,10390,1664833557,3934129496,1,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.276673e-01,4.276915e-01,304058476,1801618,10803,1661524742,3934111788,3,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.345138e-01,4.345030e-01,304055909,1799611,8648,1666404540,3934102909,0,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.290044e-01,4.289939e-01,304058461,1802910,13197,1670351510,3934112868,0,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.470034e-01,4.470876e-01,304066352,1821508,14120,1739520513,3934164112,2,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.344314e-01,4.344352e-01,304059259,1807579,13062,1687131103,3934130922,1,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.375014e-01,4.376871e-01,304099823,1806209,11088,1694170927,3934315422,8,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.278262e-01,4.278157e-01,304061149,1803361,12643,1662671926,3934140640,0,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.369138e-01,4.369149e-01,304047284,1806361,10753,1694363204,3934073169,2,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.367638e-01,4.367647e-01,304060137,1803057,10090,1659448618,3934144480,2,0,537
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.367988e-01,4.368191e-01,304057442,1803098,10100,1664386716,3934121120,2,0,533
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.685739e-01,4.685622e-01,304061949,1817935,10183,1790994498,3934141495,0,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.275438e-01,4.275331e-01,304053630,1804484,10776,1664052168,3934086731,0,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.305141e-01,4.307532e-01,304117956,1805785,6580,1666002403,3934383311,9,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.323584e-01,4.323476e-01,304054919,1804941,8495,1667875738,3934096872,0,0,537
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.299685e-01,4.299643e-01,304055743,1801572,9937,1673546711,3934094891,1,0,537
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.300465e-01,4.300451e-01,304049943,1805493,12445,1666191379,3934073176,1,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.356095e-01,4.356077e-01,304055509,1804640,12112,1664512352,3934108181,1,0,537
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.277148e-01,4.277359e-01,304062405,1800660,6613,1659744365,3934140415,1,0,537
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.463395e-01,4.463463e-01,304059752,1815034,11823,1736178040,3934125138,2,0,537
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.390816e-01,4.390793e-01,304055376,1803223,12387,1662837819,3934104121,1,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.371290e-01,4.371182e-01,304050246,1803239,8799,1677108985,3934086722,0,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.408679e-01,4.408779e-01,304052833,1805039,9571,1708224936,3934103146,3,0,537
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.346229e-01,4.346179e-01,304058400,1804648,6846,1687171648,3934123409,1,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.477416e-01,4.477403e-01,304059470,1811374,11020,1742573293,3934125331,1,0,534
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.357574e-01,4.358112e-01,304057882,1804147,10410,1686533392,3934113831,1,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.318870e-01,4.319090e-01,304057578,1803560,10374,1671484416,3934115694,3,0,534
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.292249e-01,4.292140e-01,304051486,1800960,8607,1659993717,3934099603,0,0,534
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.335653e-01,4.335747e-01,304054294,1801431,13352,1664893296,3934102329,1,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.331229e-01,4.331928e-01,304058386,1802385,9411,1670745863,3934115845,2,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.523102e-01,4.522989e-01,304055419,1813884,14254,1748960013,3934110317,0,0,534
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.355545e-01,4.355931e-01,304055252,1804554,14516,1681477835,3934106984,3,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.315891e-01,4.315783e-01,304053351,1801528,12167,1666703118,3934099707,0,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.295925e-01,4.295913e-01,304053268,1802563,13942,1660630465,3934102357,1,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.331713e-01,4.331604e-01,304046974,1807329,12705,1678207570,3934073641,0,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.308670e-01,4.308725e-01,304060622,1805262,13253,1664605179,3934134523,2,0,533
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.312690e-01,4.312578e-01,304046526,1802796,11907,1668842104,3934068185,0,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.303789e-01,4.303680e-01,304062166,1800636,13160,1663256612,3934135294,0,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.397526e-01,4.397515e-01,304053177,1804749,10891,1704976656,3934087737,1,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.300252e-01,4.300146e-01,304054752,1803710,6348,1666105934,3934108799,0,0,537
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.338285e-01,4.338289e-01,304056254,1801632,7803,1667415802,3934109476,2,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.344448e-01,4.344381e-01,304047730,1800997,12851,1671934297,3934057092,1,0,533
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.337742e-01,4.337807e-01,304056860,1801113,10686,1681483249,3934119101,2,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.305159e-01,4.307371e-01,304112632,1801313,6542,1665167245,3934355082,7,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.326536e-01,4.326560e-01,304049002,1800049,12329,1680824275,3934077266,1,0,534
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.288459e-01,4.288427e-01,304059445,1801631,9004,1667775939,3934127618,1,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.557587e-01,4.557474e-01,304061748,1804853,10220,1770568387,3934118614,0,0,537
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.553289e-01,4.553636e-01,304061342,1815799,8343,1771270888,3934138576,2,0,534
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.303465e-01,4.303359e-01,304058166,1808027,12129,1669662273,3934131291,0,0,533
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.801965e-01,4.801915e-01,304060017,1802470,8936,1870333477,3934151501,1,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.274393e-01,4.274502e-01,304051513,1804407,8137,1659857211,3934081199,2,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.291908e-01,4.291869e-01,304054169,1801767,11515,1668965591,3934093679,1,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.316122e-01,4.316015e-01,304050942,1802982,9633,1678938433,3934096129,0,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.468775e-01,4.469054e-01,304062877,1812712,10781,1731127248,3934152139,4,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.336953e-01,4.336845e-01,304046318,1801359,10883,1678129547,3934049666,0,0,533
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.282829e-01,4.282721e-01,304056779,1802396,8651,1667285672,3934116158,0,0,537
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.296357e-01,4.296538e-01,304057859,1802383,5758,1668785171,3934121515,3,0,534
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.295306e-01,4.295197e-01,304057960,1805565,13401,1665665599,3934095266,0,0,537
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.395564e-01,4.395663e-01,304055396,1798260,6011,1681451664,3934113283,2,0,534
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.314890e-01,4.314843e-01,304043283,1801258,8256,1675960047,3934048616,1,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.277850e-01,4.277809e-01,304058257,1801606,6229,1664402560,3934110890,1,0,534
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.271971e-01,4.271863e-01,304059730,1800207,7140,1661534874,3934135261,0,0,534
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.369780e-01,4.369671e-01,304051340,1802903,5680,1667092620,3934085769,0,0,533
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.274760e-01,4.274985e-01,304044091,1802370,6879,1663045700,3934051243,1,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.317178e-01,4.317070e-01,304053563,1802593,4869,1672142296,3934092055,0,0,534
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.587578e-01,4.587550e-01,304059161,1812219,6833,1782297170,3934122609,1,0,533
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.281172e-01,4.281222e-01,304056283,1804117,5842,1665390846,3934102463,2,0,537
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.336070e-01,4.336038e-01,304047405,1804283,6890,1686681608,3934058400,1,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.298159e-01,4.298097e-01,304050746,1800873,5997,1672774894,3934081537,1,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.276045e-01,4.275940e-01,304053161,1803411,7445,1664213984,3934086072,1,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.282588e-01,4.282480e-01,304048455,1806740,6761,1667070718,3934079337,0,0,537
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.312635e-01,4.312525e-01,304051795,1801856,5913,1680432126,3934088237,0,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.266791e-01,4.266741e-01,304045989,1800956,7279,1659970081,3934067363,1,0,534
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.322560e-01,4.322552e-01,304058469,1803375,6859,1678889508,3934118372,1,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.304498e-01,4.304463e-01,304047659,1803495,6972,1662206787,3934056463,1,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.496585e-01,4.496571e-01,304063006,1813245,6538,1741390980,3934147993,1,1,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.302476e-01,4.302678e-01,304104560,1804347,9018,1668784457,3934398053,7,0,535
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.364007e-01,4.363949e-01,304055848,1804213,6950,1660548413,3934102889,1,0,536
wifi-sid,perf-5e5ec39e,RX 6Mbps,100000000,4.310784e-01,4.310678e-01,304045680,1800909,8216,1666612694,3934064759,0,0,535
