platform,gitRev,test,nsamples,cpuTime,realTime,branchInstructions,branchMisses,cacheMisses,cpuCycles,instructions,contextSwitches,cpuMigrations,pageFaults
wifi-sid,perf-a5734919,RX 6Mbps,100000000,4.280373e-01,4.280266e-01,304072799,1800730,11952,1664240127,3934194217,0,0,541
wifi-sid,perf-a5734919,RX 6Mbps,100000000,4.275321e-01,4.277429e-01,304106669,1804190,6942,1663890047,3934329639,9,0,534
wifi-sid,perf-a5734919,RX 6Mbps,100000000,4.300469e-01,4.300361e-01,304049337,1805529,8795,1675638964,3934070740,0,0,533
wifi-sid,perf-a5734919,RX 6Mbps,100000000,4.273406e-01,4.273248e-01,304048683,1801335,11959,1661735916,3934069649,1,0,534
wifi-sid,perf-a5734919,RX 6Mbps,100000000,4.280985e-01,4.280879e-01,304056326,1805414,9979,1665846310,3934108412,0,0,537
wifi-sid,perf-a5734919,RX 6Mbps,100000000,4.289014e-01,4.288994e-01,304053985,1803608,12385,1666731944,3934099867,1,0,537
wifi-sid,perf-a5734919,RX 6Mbps,100000000,4.283299e-01,4.283277e-01,304051595,1805289,9259,1662002392,3934091091,1,0,535
wifi-sid,perf-a5734919,RX 6Mbps,100000000,4.368764e-01,4.368655e-01,304056660,1807516,8540,1698317067,3934109852,0,0,536
wifi-sid,perf-a5734919,RX 6Mbps,100000000,4.295968e-01,4.297961e-01,304243879,1805840,10216,1664028081,3934894094,7,0,534
wifi-sid,perf-a5734919,RX 6Mbps,100000000,4.285276e-01,4.285169e-01,304055533,1802660,9239,1665657442,3934124949,0,0,535
wifi-sid,perf-a5734919,RX 6Mbps,100000000,4.362003e-01,4.361977e-01,304052592,1805207,10192,1687663050,3934098533,1,0,534
wifi-sid,perf-a5734919,RX 6Mbps,100000000,4.275953e-01,4.276006e-01,304048888,1804997,11005,1663330589,3934088877,1,0,535
wifi-sid,perf-a5734919,RX 6Mbps,100000000,4.278714e-01,4.278718e-01,304050310,1804881,7091,1666934139,3934095478,2,0,535
wifi-sid,perf-a5734919,RX 6Mbps,100000000,4.280552e-01,4.280445e-01,304048495,1806170,8863,1666288725,3934057374,0,0,537
wifi-sid,perf-a5734919,RX 6Mbps,100000000,4.262237e-01,4.262130e-01,304051624,1799267,8277,1660310786,3934087618,0,0,535
wifi-sid,perf-a5734919,RX 6Mbps,100000000,4.279744e-01,4.279833e-01,304053942,1803141,10410,1662384181,3934111125,1,0,535
wifi-sid,perf-a5734919,RX 6Mbps,100000000,4.288346e-01,4.288239e-01,304053629,1800866,8360,1666584530,3934104002,0,0,536
wifi-sid,perf-a5734919,RX 6Mbps,100000000,4.282672e-01,4.282687e-01,304058734,1801073,10472,1662329337,3934118292,2,0,537
wifi-sid,perf-a5734919,RX 6Mbps,100000000,4.316205e-01,4.316099e-01,304052569,1807388,10789,1679699712,3934103675,0,0,537
wifi-sid,perf-a5734919,RX 6Mbps,100000000,4.270336e-01,4.270293e-01,304049375,1805807,9754,1661887369,3934069671,1,0,534
wifi-sid,perf-a5734919,RX 6Mbps,100000000,4.297795e-01,4.299715e-01,304100014,1802622,12510,1669454686,3934303562,8,0,536
wifi-sid,perf-a5734919,RX 6Mbps,100000000,4.311143e-01,4.311102e-01,304057175,1804940,9212,1678171862,3934094733,1,0,537
