platform,gitRev,test,nsamples,cpuTime,realTime,branchInstructions,branchMisses,cacheMisses,cpuCycles,instructions,contextSwitches,cpuMigrations,pageFaults
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.761649e-01,5.761684e-01,449279174,1685727,25104,2251955262,4893175198,0,0,521
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.801323e-01,5.803315e-01,449084319,1647752,20934,2262072601,4892131969,8,1,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.680018e-01,5.680133e-01,449040401,1682211,20628,2218105631,4891932959,1,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.794021e-01,5.797110e-01,449415233,1668074,17242,2251923916,4893515162,10,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.723620e-01,5.723983e-01,449039982,1689757,10182,2237267940,4891933870,3,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.894405e-01,5.894553e-01,449076942,1664882,56044,2247509430,4892121662,1,0,386
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.716119e-01,5.716232e-01,449043402,1703816,15209,2234450000,4891944065,1,0,387
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.749899e-01,5.749999e-01,449044467,1664691,20068,2241534429,4891962705,1,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.718436e-01,5.718564e-01,449038691,1714560,11899,2234065104,4891924518,2,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.762526e-01,5.762654e-01,449039405,1659170,22434,2240399676,4891928219,1,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.734012e-01,5.734044e-01,449035800,1648437,26403,2243209463,4891903403,0,0,386
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.717298e-01,5.717394e-01,449029282,1668844,24234,2233434572,4891868068,1,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.796253e-01,5.796288e-01,449044986,1679846,26530,2264138297,4891957324,0,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.756686e-01,5.756809e-01,449044442,1730939,20462,2244518322,4891948678,1,0,387
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.762708e-01,5.763087e-01,449330738,1652834,24555,2239367256,4893700468,8,0,383
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.742976e-01,5.743860e-01,449041693,1656350,24621,2240518303,4891938474,5,0,387
