platform,gitRev,test,nsamples,cpuTime,realTime,branchInstructions,branchMisses,cacheMisses,cpuCycles,instructions,contextSwitches,cpuMigrations,pageFaults
kzc,master-2f2e7096,RX 6Mbps,100000000,5.670762e-01,5.670380e-01,634469901,1638386,19738,2186672661,5448148801,1,0,529
kzc,master-2f2e7096,RX 6Mbps,100000000,5.629147e-01,5.628839e-01,634252863,1633431,12330,2170521047,5447027731,1,0,400
kzc,master-2f2e7096,RX 6Mbps,100000000,5.641802e-01,5.641417e-01,634251191,1631784,11743,2170609220,5447024674,1,0,400
kzc,master-2f2e7096,RX 6Mbps,100000000,5.692798e-01,5.692751e-01,634334939,1632280,16650,2185346141,5447522403,6,0,399
kzc,master-2f2e7096,RX 6Mbps,100000000,5.619902e-01,5.619511e-01,634251919,1628735,16167,2167953462,5447028009,1,0,399
kzc,master-2f2e7096,RX 6Mbps,100000000,5.827071e-01,5.826571e-01,634265009,1652825,17044,2247541563,5447096067,0,0,398
kzc,master-2f2e7096,RX 6Mbps,100000000,5.685623e-01,5.685488e-01,634250822,1633382,15973,2191460639,5447018432,2,0,398
kzc,master-2f2e7096,RX 6Mbps,100000000,5.716078e-01,5.715791e-01,634259518,1635806,16505,2205013974,5447062137,1,1,400
kzc,master-2f2e7096,RX 6Mbps,100000000,5.663766e-01,5.663281e-01,634247709,1636787,17347,2181409403,5447003304,0,0,399
kzc,master-2f2e7096,RX 6Mbps,100000000,5.606877e-01,5.606497e-01,634238801,1630860,15199,2167553572,5446937119,1,0,400
kzc,master-2f2e7096,RX 9Mbps,100000000,6.358128e-01,6.357583e-01,599906462,2041050,49509,2435023378,5718879540,0,0,680
kzc,master-2f2e7096,RX 9Mbps,100000000,6.311719e-01,6.311360e-01,599687535,2037683,24117,2433251570,5717759951,2,0,550
kzc,master-2f2e7096,RX 9Mbps,100000000,6.289018e-01,6.291300e-01,599697978,2039317,24076,2427375110,5717807026,6,1,550
kzc,master-2f2e7096,RX 9Mbps,100000000,6.261315e-01,6.260886e-01,599683852,2033747,22615,2418687671,5717730852,1,0,549
kzc,master-2f2e7096,RX 9Mbps,100000000,6.327609e-01,6.327163e-01,599680242,2043310,21437,2446816741,5717696238,1,0,550
kzc,master-2f2e7096,RX 9Mbps,100000000,6.304666e-01,6.304399e-01,599682670,2036854,22747,2428891581,5717725447,1,0,550
kzc,master-2f2e7096,RX 9Mbps,100000000,6.351518e-01,6.351224e-01,599679610,2037886,22821,2448227773,5717693068,2,0,548
kzc,master-2f2e7096,RX 9Mbps,100000000,6.322781e-01,6.322339e-01,599683876,2037562,19243,2435249242,5717731308,1,0,549
kzc,master-2f2e7096,RX 9Mbps,100000000,6.357993e-01,6.360802e-01,600723509,2048447,37843,2441729125,5722110079,10,0,548
kzc,master-2f2e7096,RX 9Mbps,100000000,6.330227e-01,6.330016e-01,599685353,2033192,22057,2432063483,5717742223,2,0,550
kzc,master-2f2e7096,RX 12Mbps,100000000,7.738350e-01,7.737964e-01,722255532,1348269,22699,2982828389,7475727645,2,0,532
kzc,master-2f2e7096,RX 12Mbps,100000000,7.832190e-01,7.831616e-01,722034744,1353977,16436,3014515297,7474577566,1,0,401
kzc,master-2f2e7096,RX 12Mbps,100000000,7.849125e-01,7.848454e-01,722033229,1445082,21860,3016462836,7474568539,0,0,399
kzc,master-2f2e7096,RX 12Mbps,100000000,7.739049e-01,7.738663e-01,722035249,1356559,16795,2976389457,7474572627,3,0,399
kzc,master-2f2e7096,RX 12Mbps,100000000,7.779235e-01,7.784252e-01,724049428,1380571,32161,2987261927,7483057761,18,0,400
kzc,master-2f2e7096,RX 12Mbps,100000000,7.777213e-01,7.776729e-01,722029473,1365839,14154,2991404848,7474543901,2,0,399
kzc,master-2f2e7096,RX 12Mbps,100000000,7.817827e-01,7.817157e-01,722032565,1368780,15839,3016171106,7474561710,0,0,400
kzc,master-2f2e7096,RX 12Mbps,100000000,7.724098e-01,7.723439e-01,722027769,1355877,13693,2977962380,7474540962,0,0,398
kzc,master-2f2e7096,RX 12Mbps,100000000,7.742662e-01,7.742353e-01,722027515,1357355,15316,2988904347,7474532829,2,0,398
kzc,master-2f2e7096,RX 12Mbps,100000000,7.775155e-01,7.775050e-01,722029190,1359593,20409,2990696580,7474543295,4,0,400
kzc,master-2f2e7096,RX 18Mbps,100000000,8.800155e-01,8.799812e-01,650027897,2101450,81009,3353887602,7757513284,3,0,682
kzc,master-2f2e7096,RX 18Mbps,100000000,8.623970e-01,8.635248e-01,649848815,2094300,25681,3327226507,7756598834,42,0,550
kzc,master-2f2e7096,RX 18Mbps,100000000,8.801504e-01,8.801969e-01,649812715,2107487,34064,3362270640,7756409553,3,0,549
kzc,master-2f2e7096,RX 18Mbps,100000000,8.575569e-01,8.585758e-01,649831508,2089502,22823,3305809005,7756488621,38,0,550
kzc,master-2f2e7096,RX 18Mbps,100000000,8.666896e-01,8.666250e-01,649805817,2096021,68193,3322668498,7756371019,1,0,551
kzc,master-2f2e7096,RX 18Mbps,100000000,8.687655e-01,8.697383e-01,649827110,2086463,62425,3326280901,7756479977,28,1,551
kzc,master-2f2e7096,RX 18Mbps,100000000,8.719414e-01,8.718764e-01,649797796,2092148,70278,3341857707,7756325079,1,0,550
kzc,master-2f2e7096,RX 18Mbps,100000000,8.807813e-01,8.807698e-01,649899555,2096120,91531,3348003128,7756854528,4,0,550
kzc,master-2f2e7096,RX 18Mbps,100000000,8.688486e-01,8.687838e-01,649808297,2093319,48265,3338109139,7756381007,1,0,549
kzc,master-2f2e7096,RX 18Mbps,100000000,8.730026e-01,8.729791e-01,649810094,2088523,24206,3340794990,7756388608,3,0,550
kzc,master-2f2e7096,RX 24Mbps,100000000,1.169243e+00,1.169152e+00,927250039,2900790,38623,4472611952,11008614518,1,0,532
kzc,master-2f2e7096,RX 24Mbps,100000000,1.188824e+00,1.188742e+00,927033662,2914380,98547,4468972081,11007512672,2,0,400
kzc,master-2f2e7096,RX 24Mbps,100000000,1.211529e+00,1.212415e+00,931721727,2960636,239238,4562538011,11027279832,27,0,399
