platform,gitRev,test,nsamples,cpuTime,realTime,branchInstructions,branchMisses,cacheMisses,cpuCycles,instructions,contextSwitches,cpuMigrations,pageFaults
kzc,perf-91ad328f,RX 6Mbps,100000000,5.634089e-01,5.633907e-01,627921774,1638865,26623,2170364164,5442321730,3,0,532
kzc,perf-91ad328f,RX 6Mbps,100000000,5.645417e-01,5.645036e-01,627696196,1637332,14874,2190744752,5441159221,1,0,400
kzc,perf-91ad328f,RX 6Mbps,100000000,5.849305e-01,5.848804e-01,627681729,1661630,35788,2259979623,5441071639,0,0,400
kzc,perf-91ad328f,RX 6Mbps,100000000,5.666928e-01,5.666534e-01,627687396,1639040,12755,2166580430,5441114141,1,0,398
kzc,perf-91ad328f,RX 6Mbps,100000000,5.644880e-01,5.644396e-01,627675855,1642810,12192,2179241961,5441032941,0,0,400
kzc,perf-91ad328f,RX 6Mbps,100000000,5.664157e-01,5.666952e-01,628067975,1644156,30643,2183096266,5442706758,10,0,401
kzc,perf-91ad328f,RX 6Mbps,100000000,5.625519e-01,5.625238e-01,627679298,1642106,58076,2180840134,5441065633,1,0,398
kzc,perf-91ad328f,RX 6Mbps,100000000,5.617276e-01,5.616975e-01,627685450,1640219,13222,2176978028,5441099908,1,0,398
kzc,perf-91ad328f,RX 6Mbps,100000000,5.999830e-01,5.999438e-01,627682729,1667874,175340,2284692762,5441076225,1,0,401
kzc,perf-91ad328f,RX 6Mbps,100000000,5.833842e-01,5.833341e-01,627679017,1656296,130719,2230706775,5441063699,0,0,398
kzc,perf-91ad328f,RX 6Mbps,100000000,5.984920e-01,5.984509e-01,627685440,1692736,96344,2266878048,5441094655,1,0,400
kzc,perf-91ad328f,RX 6Mbps,100000000,5.744591e-01,5.744100e-01,627683385,1642681,38918,2192809244,5441082527,0,0,399
kzc,perf-91ad328f,RX 6Mbps,100000000,6.190892e-01,6.195580e-01,630322856,1704926,225494,2316368663,5452235219,15,0,400
kzc,perf-91ad328f,RX 6Mbps,100000000,5.825451e-01,5.825243e-01,627678196,1643658,66367,2206581169,5441046205,2,0,398
kzc,perf-91ad328f,RX 6Mbps,100000000,5.705983e-01,5.705579e-01,627685406,1639057,47527,2177359445,5441101488,1,0,399
kzc,perf-91ad328f,RX 6Mbps,100000000,5.812918e-01,5.812761e-01,627678564,1647155,46093,2197987486,5441057998,2,0,398
kzc,perf-91ad328f,RX 6Mbps,100000000,5.820372e-01,5.819874e-01,627678548,1649356,58305,2202580235,5441060528,0,0,399
kzc,perf-91ad328f,RX 6Mbps,100000000,5.824856e-01,5.824574e-01,627689291,1692166,131409,2202728919,5441120310,2,0,399
kzc,perf-91ad328f,RX 6Mbps,100000000,5.792161e-01,5.791767e-01,627682831,1820476,57115,2190629492,5441082245,1,0,400
kzc,perf-91ad328f,RX 6Mbps,100000000,5.946439e-01,5.945932e-01,627688229,1642611,74548,2212070748,5441108301,0,0,400
